rating,ratingLevel
PG-13,crude and sexual humor | language and some drug content
R,strong violence | sexual content and adult language
TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.
TV-PG,Parental guidance suggested. May not be suitable for all children.
TV-MA,For mature audiences.  May not be suitable for children 17 and under.
TV-Y,Suitable for all ages.
NR,This movie has not been rated.
TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.
UR,This movie has not been rated. Intended for adults only and may contain sex | violence | drugs | language or other adult themes.
PG,some thematic elements | rude humor and action
TV-G,Suitable for all ages.
G,General Audiences. Suitable for all ages.
TV-Y7,Suitable for children ages 7 and older
